GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
C18MMN,NVD,4616500.0,,103.0,1580.0,1505.0,132.0,1300.0,50.0,3852.0,0.086,0.51,0.07,0.111,0.058,51.0,240.9,0.034,0.166,0.67,0.008,0.184,64.0,C18MMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18MMN,NVD,4616501.0,,93.0,1580.0,1505.0,176.0,1300.0,50.0,4273.0,0.025,0.29,0.067,0.008,0.1,51.0,201.41,0.035,0.194,0.75,0.0089,0.203,64.0,C18MMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18MMN,NVD,4616502.0,,102.0,1585.0,1505.0,176.0,1400.0,50.0,3671.0,0.038,0.22,0.0609,0.0089,0.028,61.0,258.5,0.029,0.158,0.63,0.007,0.1489,64.0,C18MMN,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1006,VD,4616503.0,,97.0,1635.0,1505.0,276.0,1900.0,50.0,4454.0,0.027,0.25,0.07,0.0109,0.052,32.0,490.5,0.026,0.033,0.36,0.004,0.035,61.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.028,0.18,0.0491,,436.781728873635,
C18MMN,NVD,4616504.0,,95.0,1585.0,1531.0,132.0,1300.0,50.0,3685.0,0.103,0.5,0.065,0.108,0.058,54.0,220.44,0.03,0.172,0.66,0.005,0.198,64.0,C18MMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18MMN,NVD,4616505.0,,105.0,1585.0,1505.0,132.0,1450.0,50.0,5010.0,0.097,0.49,0.067,0.105,0.053,54.0,231.0,0.031,0.165,0.68,0.007,0.19,61.0,C18MMN,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1006,VD,4616506.0,,97.0,1595.0,1505.0,276.0,1900.0,50.0,5098.0,0.022,0.26,0.066,0.01,0.045,54.0,565.4100000000001,0.025,0.037,0.39,0.0089,0.031,60.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.033,0.1699999999999999,0.0499999999999999,,436.781728873635,
C18HMNHT(NB),NVD,4616507.0,,102.0,1605.0,1505.0,132.0,1750.0,50.0,4154.0,0.079,0.8,0.0609,0.078,0.017,51.0,326.7,0.024,0.167,1.28,0.004,0.194,67.0,C18HMNHTNB,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1006,VD,4616508.0,,95.0,1590.0,1505.0,298.0,1950.0,50.0,4331.0,0.021,0.3,0.068,0.0109,0.051,51.0,550.78,0.032,0.031,0.39,0.01,0.016,60.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.034,0.13,0.0491,,436.781728873635,
SAE1006,VD,4616509.0,,97.0,1598.0,1505.0,276.0,2050.0,50.0,4264.0,0.033,0.25,0.066,0.007,0.004,54.0,675.3,0.019,0.038,0.36,0.006,0.02,58.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.022,0.18,0.053,,436.781728873635,
C18HMNHT(NB),NVD,4616510.0,,104.0,1600.0,1505.0,132.0,1450.0,50.0,3814.0,0.101,0.86,0.0709,0.116,0.07,51.0,223.41,0.037,0.164,1.27,0.0109,0.19,67.0,C18HMNHTNB,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1006,VD,4616511.0,,95.0,1590.0,1505.0,156.0,2300.0,50.0,4990.0,0.026,0.27,0.062,0.014,0.072,54.0,354.0,0.023,0.041,0.35,0.007,0.023,57.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.029,0.1599999999999999,0.046,,436.781728873635,
SAE1006,VD,4616512.0,,95.0,1595.0,1505.0,276.0,2150.0,50.0,3421.0,0.028,0.28,0.049,0.0109,0.087,54.0,497.1,0.027,0.035,0.38,0.005,0.0509,60.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.027,0.1499999999999999,0.0491,,436.781728873635,
C18HMNHT(NB),NVD,4616513.0,,100.0,1580.0,1505.0,156.0,1350.0,50.0,4095.0,0.094,0.92,0.0459,0.132,0.071,51.0,210.78,0.038,0.176,1.29,0.005,0.192,66.0,C18HMNHTNB,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1006,VD,4616514.0,,100.0,1598.0,1505.0,156.0,1950.0,50.0,4562.0,0.035,0.32,0.063,0.014,0.079,54.0,314.4,0.024,0.038,0.38,0.004,0.035,63.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.0199999999999999,0.1099999999999999,0.046,,436.781728873635,
SAE1006,VD,4616515.0,,103.0,1600.0,1505.0,156.0,1600.0,50.0,3894.0,0.024,0.27,0.068,0.0109,0.084,53.0,337.5,0.011,0.035,0.38,0.005,0.0219,61.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.031,0.1599999999999999,0.0491,,436.781728873635,
C18HMNHT(V)HSI,NVD,4616516.0,,100.0,1610.0,1505.0,132.0,1350.0,50.0,4020.0,0.063,0.44,0.078,0.0459,0.021,45.0,353.1,0.03,0.167,1.26,0.0089,0.33,64.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1006,VD,4616517.0,,95.0,1598.0,1505.0,276.0,1700.0,50.0,4474.0,0.024,0.28,0.062,0.008,0.084,44.0,500.4,0.022,0.032,0.38,0.004,0.0369,54.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.031,0.1499999999999999,0.052,,436.781728873635,
SAE1006,VD,4616518.0,,98.0,1599.0,1505.0,276.0,1950.0,50.0,4426.0,0.025,0.27,0.065,0.0089,0.074,51.0,490.5,0.02,0.036,0.38,0.004,0.0369,51.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.03,0.1599999999999999,0.0511,,436.781728873635,
C18HMNHT(V)HSI,NVD,4616519.0,,100.0,1580.0,1505.0,110.0,1200.0,50.0,4318.0,0.088,0.79,0.066,0.1799,0.104,51.0,149.6,0.036,0.178,1.27,0.007,0.3049,64.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE1006,VD,4616520.0,,98.0,1595.0,1505.0,242.0,1900.0,50.0,4438.0,0.029,0.16,0.0739,0.007,0.12,44.0,390.5,0.021,0.034,0.36,0.004,0.041,64.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.026,0.27,0.053,,436.781728873635,
C18HMNHT(V)HSI,NVD,4616521.0,,100.0,1585.0,1505.0,132.0,1500.0,50.0,3552.0,0.065,0.79,0.067,0.155,0.027,47.0,273.9,0.035,0.171,1.28,0.0109,0.331,70.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMNHT(V)HSI,NVD,4616522.0,,96.0,1580.0,1505.0,132.0,880.0,50.0,3514.0,0.099,0.81,0.065,0.182,0.12,61.0,165.0,0.042,0.171,1.19,0.0129,0.281,64.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE4140,VD,4616523.0,,96.0,1590.0,1505.0,132.0,1550.0,50.0,3754.0,0.557,0.88,0.07,0.2089,0.152,57.0,198.0,0.031,0.425,0.89,0.003,0.2359,74.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,-0.157,-0.0299999999999999,0.0411,-0.1195,363.2857142857143,7.0
SAE4140,VD,4616524.0,,99.0,1560.0,1505.0,132.0,1250.0,50.0,4462.0,0.069,0.55,0.0589,0.105,0.078,43.0,198.0,0.028,0.418,0.89,0.004,0.255,71.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.331,0.3,0.145,-0.0455,363.2857142857143,7.0
SAE4140,VD,4616525.0,,106.0,1568.0,1505.0,132.0,1400.0,50.0,3774.0,0.067,0.62,0.0529,0.101,0.03,60.0,280.5,0.032,0.388,0.88,0.003,0.246,74.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.333,0.2300000000000001,0.149,0.0025,363.2857142857143,7.0
SAE4140,VD,4616526.0,,110.0,1550.0,1505.0,132.0,1600.0,50.0,3336.0,0.05,0.52,0.0719,0.0899,0.009,60.0,371.91,0.032,0.398,0.87,0.003,0.223,67.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.35,0.33,0.1601,0.0235,363.2857142857143,7.0
SA105,VD,4616527.0,,96.0,1613.0,1505.0,132.0,1700.0,50.0,4506.0,0.051,0.55,0.056,0.0879,0.012,58.0,306.9,0.027,0.202,1.26,0.003,0.2049,60.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616528.0,,99.0,1578.0,1505.0,132.0,1800.0,50.0,3328.0,0.062,0.63,0.063,0.113,0.034,61.0,249.15,0.03,0.203,1.25,0.003,0.191,60.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616529.0,,102.0,1580.0,1505.0,132.0,1900.0,50.0,3870.0,0.065,0.7,0.062,0.125,0.063,51.0,280.5,0.033,0.2,1.24,0.003,0.171,64.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616530.0,,102.0,1580.0,1505.0,144.0,1560.0,50.0,3307.0,0.086,0.67,0.0589,0.137,0.034,51.0,292.5,0.036,0.206,1.25,0.005,0.219,63.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
C18HMNHT(V)HSI,NVD,4616531.0,,99.0,1622.0,1505.0,144.0,1100.0,50.0,3950.0,0.055,0.55,0.062,0.101,0.088,51.0,196.8,0.036,0.16,1.27,0.007,0.337,67.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
SA105,NVD,4616532.0,,99.0,1575.0,1505.0,132.0,1500.0,50.0,3601.0,0.074,0.81,0.0529,0.183,0.064,51.0,247.5,0.036,0.2,1.25,0.003,0.216,64.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
C18HMNHT(V)HSI,NVD,4616533.0,,103.0,1580.0,1505.0,132.0,1300.0,50.0,3183.0,0.095,0.62,0.058,0.134,0.143,51.0,240.9,0.032,0.191,1.27,0.007,0.3029,67.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMNHT(V)HSI,NVD,4616534.0,,102.0,1590.0,1559.0,132.0,1300.0,50.0,3890.0,0.06,0.81,0.0539,0.159,0.04,58.0,240.9,0.039,0.193,1.22,0.01,0.226,68.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
SA105,VD,4616535.0,,101.0,1610.0,1527.0,132.0,1500.0,50.0,3401.0,0.072,0.79,0.0509,0.1759,0.087,51.0,191.4,0.036,0.207,1.27,0.004,0.264,63.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
C18HMNHT(V)HSI,NVD,4616536.0,,102.0,1594.0,1505.0,132.0,1550.0,50.0,3871.0,0.062,0.77,0.0599,0.1459,0.065,54.0,212.85,0.032,0.166,1.28,0.0089,0.315,67.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMNHT(V)HSI,NVD,4616537.0,,96.0,1580.0,1525.0,132.0,1400.0,50.0,3450.0,0.072,0.82,0.049,0.182,0.043,64.0,234.3,0.044,0.155,1.27,0.01,0.2889,68.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
C18HMNHT(V)HSI,NVD,4616538.0,,75.0,1580.0,1568.0,110.0,1000.0,50.0,3135.0,0.127,1.13,0.04,0.218,0.089,63.0,194.15,0.032,0.159,1.27,0.004,0.322,68.0,C18HMNHTVHSI,,,,,,,,,,,,,,,,,,,436.781728873635,
SA105,VD,4616539.0,,99.0,1575.0,1523.0,110.0,1700.0,50.0,3396.0,0.069,0.79,0.0459,0.1479,0.06,61.0,176.0,0.024,0.189,1.25,0.006,0.2059,64.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616540.0,,96.0,1575.0,1505.0,132.0,1350.0,50.0,3092.0,0.067,0.76,0.055,0.158,0.067,63.0,214.5,0.031,0.194,1.26,0.005,0.2409,58.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
EN1A,NVD,4616543.0,,99.0,1615.0,1505.0,66.0,600.0,50.0,3771.0,0.064,0.73,0.2979,0.0919,0.486,61.0,66.0,0.001,0.07,1.11,0.252,0.016,66.0,EN1A,0.085,1.125,,,0.07,0.1,1.05,1.2,,0.05,,0.01,85.0,0.29,0.021,0.395,,,436.781728873635,
SA105,VD,4616544.0,,96.0,1570.0,1505.0,132.0,1600.0,50.0,3756.0,0.071,0.84,0.0529,0.165,0.043,55.0,280.5,0.033,0.206,1.26,0.003,0.25,63.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616545.0,,98.0,1580.0,1505.0,132.0,1600.0,50.0,3315.0,0.057,0.8,0.0599,0.16,0.069,51.0,247.5,0.035,0.2,1.24,0.002,0.22,61.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616546.0,,100.0,1570.0,1505.0,110.0,1350.0,50.0,3911.0,0.072,0.71,0.0719,0.155,0.085,55.0,555.5,0.038,0.2,1.26,0.006,0.2069,60.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616547.0,,97.0,1560.0,1505.0,132.0,1500.0,50.0,3324.0,0.063,0.78,0.0719,0.168,0.041,37.0,293.04,0.032,0.197,1.26,0.002,0.22,54.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616548.0,,83.0,1565.0,1505.0,132.0,1400.0,50.0,3582.0,0.075,1.05,0.065,0.137,0.019,53.0,338.25,0.027,0.215,1.24,0.005,0.275,60.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616550.0,,98.0,1565.0,1505.0,132.0,1550.0,50.0,3415.0,0.088,0.71,0.0599,0.1419,0.035,55.0,293.04,0.032,0.206,1.25,0.003,0.2109,60.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616551.0,,98.0,1565.0,1505.0,132.0,1550.0,50.0,3438.0,0.069,0.92,0.0599,0.1499,0.045,48.0,280.5,0.032,0.196,1.24,0.003,0.225,60.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616552.0,,99.0,1565.0,1505.0,132.0,1550.0,50.0,3124.0,0.077,0.76,0.05,0.157,0.043,57.0,282.15,0.033,0.206,1.23,0.003,0.229,54.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SAE1045,VD,4616553.0,,98.0,1595.0,1505.0,132.0,1250.0,50.0,3427.0,0.085,0.56,0.0589,0.104,0.049,44.0,198.0,0.031,0.454,0.7,0.021,0.224,64.0,SAE1045,,,,,,,,,,,,,,,,,,,436.781728873635,
SA105,VD,4616554.0,,100.0,1620.0,1523.0,132.0,1550.0,50.0,3355.0,0.063,0.77,0.0539,0.138,0.027,64.0,307.89,0.035,0.198,1.24,0.005,0.2099,66.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SAE1045,VD,4616555.0,,102.0,1580.0,1505.0,132.0,1400.0,50.0,3604.0,0.045,0.49,0.055,0.0729,0.011,55.0,323.4,0.034,0.443,0.7,0.025,0.195,61.0,SAE1045,,,,,,,,,,,,,,,,,,,436.781728873635,
SA105,VD,4616556.0,,98.0,1560.0,1505.0,144.0,1250.0,50.0,3066.0,0.092,0.77,0.05,0.161,0.049,50.0,228.15,0.035,0.21,1.23,0.003,0.247,60.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616557.0,,99.0,1560.0,1505.0,132.0,1635.0,50.0,3425.0,0.066,0.76,0.057,0.1489,0.016,60.0,264.0,0.041,0.208,1.27,0.003,0.245,58.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616558.0,,103.0,1560.0,1505.0,132.0,1350.0,50.0,3825.0,0.058,0.74,0.068,0.132,0.031,45.0,270.6,0.039,0.199,1.23,0.004,0.2049,61.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616559.0,,100.0,1560.0,1505.0,132.0,1300.0,50.0,3631.0,0.081,0.74,0.068,0.1469,0.065,51.0,226.05,0.029,0.203,1.23,0.003,0.2,61.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616560.0,,100.0,1560.0,1530.0,132.0,1250.0,50.0,3360.0,0.091,0.78,0.068,0.159,0.08,58.0,184.8,0.031,0.206,1.26,0.003,0.2389,61.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
JSPHTLSV,NVD,4616561.0,,100.0,1570.0,1532.0,132.0,1450.0,50.0,3578.0,0.093,1.04,0.062,0.1719,0.063,51.0,221.1,0.035,0.183,1.28,0.006,0.202,67.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
SA105,VD,4616562.0,,100.0,1560.0,1543.0,132.0,1250.0,50.0,3740.0,0.081,0.77,0.064,0.164,0.094,54.0,165.0,0.037,0.199,1.23,0.0036,0.2229,61.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
JSPHTLSV,NVD,4616563.0,,101.0,1575.0,1505.0,156.0,1050.0,50.0,3340.0,0.067,0.75,0.055,0.151,0.109,51.0,156.0,0.031,0.169,1.26,0.01,0.201,67.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
SA105,VD,4616564.0,,102.0,1560.0,1505.0,132.0,1300.0,50.0,3528.0,0.062,0.75,0.0539,0.129,0.057,54.0,217.8,0.037,0.2,1.21,0.004,0.199,58.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
SA105,VD,4616565.0,,102.0,1560.0,1505.0,132.0,1500.0,50.0,4210.0,0.066,0.76,0.0509,0.152,0.107,51.0,293.04,0.036,0.201,1.25,0.003,0.222,61.0,SA105,,,,,,,,,,,,,,,,,,,481.6785714285714,14.0
F-65,VD,4616566.0,,106.0,1565.0,1577.0,132.0,1650.0,50.0,3986.0,0.054,0.71,0.064,0.122,0.042,54.0,289.08,0.025,0.161,1.46,0.005,0.27,64.0,F65,,,,,,,,,,,,,,,,,,,436.781728873635,
F-65,VD,4616567.0,,99.0,1570.0,1505.0,132.0,1800.0,50.0,3766.0,0.051,0.53,0.062,0.0509,0.038,67.0,247.5,0.029,0.181,1.46,0.004,0.274,60.0,F65,,,,,,,,,,,,,,,,,,,436.781728873635,
F-65,VD,4616568.0,,101.0,1570.0,1564.0,132.0,1600.0,50.0,3675.0,0.067,0.73,0.0609,0.13,0.041,57.0,320.1,0.029,0.178,1.44,0.0043,0.2753,64.0,F65,,,,,,,,,,,,,,,,,,,436.781728873635,
JSPHTLSV,NVD,4616569.0,,101.0,1603.0,1505.0,132.0,1250.0,50.0,3545.0,0.096,0.97,0.0587,0.1562,0.093,51.0,227.04,0.031,0.191,1.29,0.004,0.198,67.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
F-65,VD,4616570.0,,99.0,1565.0,1520.0,132.0,1300.0,50.0,3527.0,0.073,0.75,0.067,0.153,0.07,57.0,244.2,0.033,0.158,1.42,0.003,0.272,55.0,F65,,,,,,,,,,,,,,,,,,,436.781728873635,
F-65,VD,4616571.0,,98.0,1565.0,1577.0,132.0,1650.0,50.0,3723.0,0.082,0.88,0.0539,0.1809,0.034,41.0,289.08,0.025,0.176,1.44,0.003,0.279,64.0,F65,,,,,,,,,,,,,,,,,,,436.781728873635,
JSPHTLSV,NVD,4616572.0,,99.0,1575.0,1520.0,132.0,1100.0,50.0,3841.0,0.096,1.1,0.065,0.1739,0.074,44.0,174.24,0.042,0.194,1.3,0.0149,0.2039,64.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
JSPHTLSV,NVD,4616573.0,,107.0,1580.0,1550.0,132.0,1550.0,50.0,4201.0,0.088,1.04,0.068,0.155,0.028,58.0,183.15,0.031,0.191,1.28,0.0129,0.1809,64.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
SUP11A(MOD),NVD,4616574.0,,99.0,1575.0,1559.0,132.0,1499.0,50.0,3876.0,0.083,0.75,0.067,0.163,0.026,51.0,254.1,0.03,0.6,0.94,0.005,0.259,61.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616575.0,,103.0,1540.0,1505.0,132.0,1100.0,50.0,3272.0,0.129,0.63,0.067,0.1419,0.068,45.0,219.78,0.03,0.604,0.95,0.005,0.2939,67.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616576.0,,95.0,1540.0,1528.0,132.0,1100.0,50.0,3357.0,0.084,0.81,0.066,0.1779,0.035,57.0,198.0,0.027,0.617,0.93,0.003,0.2359,74.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616577.0,,95.0,1545.0,1523.0,132.0,1300.0,50.0,3890.0,0.098,0.75,0.0749,0.153,0.011,64.0,280.5,0.013,0.597,0.89,0.0109,0.2069,79.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616578.0,,96.0,1540.0,1550.0,132.0,1200.0,50.0,3263.0,0.076,0.77,0.068,0.1499,0.021,61.0,290.4,0.026,0.62,0.95,0.004,0.258,74.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616579.0,,97.0,1540.0,1505.0,132.0,1100.0,50.0,3589.0,0.111,0.78,0.07,0.1749,0.044,61.0,219.78,0.03,0.595,0.92,0.003,0.267,74.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616580.0,,99.0,1550.0,1505.0,132.0,1250.0,50.0,3767.0,0.097,0.73,0.0729,0.159,0.016,64.0,165.0,0.023,0.614,0.94,0.008,0.2069,74.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616581.0,,104.0,1550.0,1559.0,132.0,1499.0,50.0,3440.0,0.093,0.54,0.0749,0.13,0.022,61.0,254.1,0.036,0.606,0.95,0.007,0.219,74.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
SUP11A(MOD),NVD,4616582.0,,104.0,1540.0,1505.0,132.0,1100.0,50.0,3669.0,0.207,0.66,0.07,0.1469,0.035,63.0,219.78,0.011,0.598,0.94,0.003,0.245,71.0,SUP11AMOD,,,,,,,,,,,,,,,,,,,436.781728873635,
ASTMA572GR50,NVD,4616583.0,,97.0,1610.0,1505.0,132.0,1300.0,50.0,3439.0,0.084,0.95,0.0769,0.1489,0.01,60.0,280.5,0.03,0.185,1.34,0.005,0.194,60.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
ASTMA572GR50,NVD,4616584.0,,98.0,1570.0,1505.0,132.0,1300.0,50.0,3439.0,0.112,1.01,0.0719,0.1469,0.01,54.0,297.0,0.035,0.18,1.34,0.006,0.196,64.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
ASTMA572GR50,NVD,4616585.0,,100.0,1571.0,1505.0,144.0,1150.0,50.0,3584.0,0.098,0.93,0.0749,0.136,0.007,54.0,299.1,0.032,0.188,1.32,0.007,0.182,66.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
ASTMA572GR50,NVD,4616586.0,,103.0,1590.0,1505.0,132.0,1500.0,50.0,3782.0,0.099,1.03,0.079,0.166,0.086,53.0,141.9,0.031,0.194,1.34,0.012,0.159,63.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
ASTMA572GR50,NVD,4616587.0,,99.0,1580.0,1505.0,132.0,1200.0,50.0,3687.0,0.103,1.07,0.067,0.1779,0.161,54.0,132.0,0.048,0.178,1.31,0.0149,0.201,63.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
ASTMA572GR50,NVD,4616588.0,,100.0,1575.0,1505.0,144.0,1200.0,50.0,3954.0,0.121,0.96,0.0609,0.163,0.054,58.0,229.8,0.029,0.201,1.32,0.0129,0.196,64.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
JSPHTLSV,NVD,4616589.0,,100.0,1585.0,1505.0,132.0,1300.0,50.0,3294.0,0.103,1.07,0.0598,0.1405,0.059,55.0,346.5,0.031,0.188,1.3,0.0089,0.185,66.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
ASTMA572GR50,NVD,4616590.0,,97.0,1580.0,1523.0,144.0,1150.0,50.0,3527.0,0.108,1.04,0.062,0.136,0.04,57.0,269.4,0.035,0.174,1.32,0.0109,0.1744,64.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
ASTMA572GR50,NVD,4616591.0,,102.0,1585.0,1505.0,132.0,1200.0,50.0,3835.0,0.121,1.02,0.0599,0.157,0.089,55.0,188.1,0.025,0.189,1.33,0.006,0.2039,64.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
JSPHTLSV,NVD,4616592.0,,103.0,1610.0,1532.0,144.0,1200.0,50.0,3918.0,0.138,0.95,0.07,0.167,0.039,48.0,280.95,0.031,0.19,1.26,0.008,0.19,63.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
ASTMA572GR50,NVD,4616593.0,,103.0,1575.0,1505.0,132.0,1350.0,50.0,4261.0,0.08,0.98,0.062,0.126,0.041,55.0,260.7,0.032,0.183,1.29,0.012,0.1779,58.0,ASTMA572GR50,,,,,,,,,,,,,,,,,,,436.781728873635,
